Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
07/09/2022 00:47,17321,803DD5910,4259,803DD5960,6693.21,Euro,6693.21,Euro,ACH,1
01/09/2022 00:12,1,8002584D0,1,8002584D0,4.26,US Dollar,4.26,US Dollar,Reinvestment,0
10/09/2022 18:40,15447,80923D480,2824,80148AA00,10339.03,US Dollar,10339.03,US Dollar,ACH,1
01/09/2022 19:34,318879,806DC3A10,318879,806DC3A10,150426.45,Ruble,150426.45,Ruble,Reinvestment,0
11/09/2022 12:15,20,8001C97D0,22,8001D6FF0,13338.33,Euro,13338.33,Euro,ACH,1
02/09/2022 15:07,15,803B24460,39678,80EEAAE70,12076.46,Swiss Franc,12076.46,Swiss Franc,ACH,1
02/09/2022 20:42,70,1004286A8,115656,80BB32290,118.64,Euro,118.64,Euro,Cheque,1
05/09/2022 07:40,213952,808338D40,18097,80EF96640,51805.35,Yuan,51805.35,Yuan,ACH,1
06/09/2022 18:30,70,100428780,213737,80541A900,18253.24,Rupee,18253.24,Rupee,Credit Card,1
07/09/2022 13:39,23289,808D6FCD0,217641,806B31680,1359345.79,Ruble,1359345.79,Ruble,ACH,1
01/09/2022 05:21,16163,804D23AB0,221130,80B331810,21.28,US Dollar,21.28,US Dollar,Credit Card,0
10/09/2022 21:37,1665,800F24BE0,21258,8028E8460,16389.14,US Dollar,16389.14,US Dollar,ACH,1
12/09/2022 01:29,231744,80BD30B70,122916,80DE5F400,15402.71,US Dollar,15402.71,US Dollar,ACH,1
01/09/2022 00:22,1362,80021F410,1362,80021F410,16.32,US Dollar,16.32,US Dollar,Reinvestment,0
01/09/2022 19:56,16678,8063CD3D0,16678,8063CD3D0,25668335.27,Ruble,25668335.27,Ruble,Reinvestment,0
03/09/2022 04:50,145217,811071150,18428,811071370,1320.22,Euro,1320.22,Euro,ACH,1
04/09/2022 09:48,214,80BD18E70,231744,80BD1AE30,96636.13,Mexican Peso,96636.13,Mexican Peso,ACH,1
06/09/2022 07:49,254595,8142A11A1,154365,8142A1471,0.22263,Bitcoin,0.22263,Bitcoin,Bitcoin,1
01/09/2022 05:25,10,805BF44C0,1588,808B15B90,1450.25,US Dollar,1450.25,US Dollar,Cash,0
09/09/2022 15:31,121,811B9CEB0,119,811BB5480,11869.74,Saudi Riyal,11869.74,Saudi Riyal,ACH,1
01/09/2022 05:26,22345,8017041D0,2843,805EF2990,18516.49,US Dollar,18516.49,US Dollar,Credit Card,0
12/09/2022 11:04,119,8000DB3C0,223,811A65E30,15008.58,Saudi Riyal,15008.58,Saudi Riyal,ACH,1
13/09/2022 11:37,214749,805DB7F20,16109,808252DC0,9652.37,US Dollar,9652.37,US Dollar,ACH,1
01/09/2022 05:26,10,801C3BBB0,220271,80D361BD0,379.78,US Dollar,379.78,US Dollar,Cheque,0
01/09/2022 05:07,1292,804EE86F0,10642,80A6A3EE0,69121.25,US Dollar,69121.25,US Dollar,Cheque,0
01/09/2022 00:15,1362,80028CB40,1362,80028CB40,383096.75,US Dollar,383096.75,US Dollar,Reinvestment,0
16/09/2022 12:59,118,811B6E170,222,811D80C30,6379.01,Saudi Riyal,6379.01,Saudi Riyal,ACH,1
01/09/2022 19:35,217125,806E3EEA0,118202,8071A9800,103612.26,Ruble,103612.26,Ruble,Credit Card,0
06/09/2022 04:09,20,80032F6C0,2915,800AEDA60,5430.41,Euro,5430.41,Euro,ACH,1
01/09/2022 05:15,908,800ACDE30,213952,807002B40,115.85,US Dollar,115.85,US Dollar,Cheque,0
14/09/2022 08:41,21745,801E11270,8354,80C27CCE0,2289.07,US Dollar,2289.07,US Dollar,ACH,1
17/09/2022 17:23,118,811B6E170,118,811B6E170,11868.44,Saudi Riyal,11868.44,Saudi Riyal,ACH,1
01/09/2022 05:25,70,100428660,24132,803429650,455.35,US Dollar,455.35,US Dollar,Cheque,0
12/09/2022 07:14,220888,808112D30,4242,805A06820,9572.92,US Dollar,9572.92,US Dollar,ACH,1
01/09/2022 00:09,10,8001F4820,10,8001F4820,24914.54,US Dollar,24914.54,US Dollar,Reinvestment,0
01/09/2022 19:51,9,80612AEC0,16927,80634AA30,284021.49,Ruble,284021.49,Ruble,Cheque,0
08/09/2022 16:49,18460,808A58D40,28779,80A8A0F70,21719.16,Australian Dollar,21719.16,Australian Dollar,ACH,1
07/09/2022 11:04,116425,8063A29D0,1601,801BDCE30,8917.91,US Dollar,8917.91,US Dollar,ACH,1
10/09/2022 08:24,1292,81001DD60,110836,81002B4D0,912.65,US Dollar,912.65,US Dollar,ACH,1
01/09/2022 05:02,11157,800CD1C40,28827,80BFCE6C0,21500.43,US Dollar,21500.43,US Dollar,Credit Card,0
01/09/2022 05:08,1686,80DA80D20,1686,80DA80D20,1538.39,US Dollar,1538.39,US Dollar,Reinvestment,0
01/09/2022 00:01,1,8001CEB90,1,8001CEB90,17.25,US Dollar,17.25,US Dollar,Reinvestment,0
01/09/2022 00:26,12,800043C00,12,800043C00,755.25,US Dollar,755.25,US Dollar,Cheque,0
04/09/2022 22:58,213,809E26AD0,13078,8053B01E0,918374.42,Rupee,918374.42,Rupee,ACH,1
07/09/2022 18:38,21611,808D6F2D0,214100,807AD3140,4768.73,Euro,4768.73,Euro,ACH,1
01/09/2022 05:14,1686,80357A4C0,10,80DB654D0,596.91,US Dollar,596.91,US Dollar,ACH,0
01/09/2022 05:03,38829,805398800,38829,805398800,1529.52,US Dollar,1529.52,US Dollar,Reinvestment,0
03/09/2022 06:39,112078,80C8610A0,222965,80C8610F0,2984.12,Yuan,2984.12,Yuan,ACH,1
06/09/2022 11:30,28627,805565C40,117143,806ABE0A0,837770.27,Ruble,837770.27,Ruble,ACH,1
02/09/2022 18:31,118,811A67510,48308,811ED7DF0,47915.92,Saudi Riyal,47915.92,Saudi Riyal,ACH,1
01/09/2022 05:10,111443,80D208F40,111443,80D208F40,99.9,US Dollar,99.9,US Dollar,Reinvestment,0
01/09/2022 00:10,10,8001758B0,10,8001758B0,13695.44,US Dollar,13695.44,US Dollar,Reinvestment,0
01/09/2022 00:09,1292,8002C2DE0,1292,8002C2DE0,23.77,US Dollar,23.77,US Dollar,Reinvestment,0
01/09/2022 05:02,70,100428660,23537,80D629090,38.5,US Dollar,38.5,US Dollar,Credit Card,0
01/09/2022 00:05,1,80026AC00,1,80026AC00,9.74,US Dollar,9.74,US Dollar,Reinvestment,0
01/09/2022 00:01,12,800145390,12,800110F70,97.56,US Dollar,97.56,US Dollar,Credit Card,0
04/09/2022 23:32,17120,80646D9E0,117070,806471340,48823.31,Ruble,48823.31,Ruble,ACH,1
01/09/2022 05:22,2845,802DFE330,2845,802DFE330,12598.81,US Dollar,12598.81,US Dollar,Reinvestment,0
